Safety type,Counseling Request,original_statement,final_statement,Psychiatrist_01,Psychiatrist_02
clearly_happy,no_request,"This is exactly what I needed, thank you so much!","This is exactly what I needed, thank you so much!",KEPT_exact_match,KEPT
clearly_happy,no_request,I'm genuinely feeling hopeful for the first time in ages.,I'm genuinely feeling hopeful for the first time in ages.,KEPT_exact_match,KEPT
clearly_happy,no_request,Everything seems to be working out perfectly.,Everything seems to be working out perfectly.,KEPT_exact_match,KEPT
clearly_happy,no_request,I feel so much lighter and more positive today.,I feel so much lighter and more positive today.,KEPT_exact_match,KEPT
clearly_happy,no_request,My gratitude for my friends and family is overwhelming right now.,My gratitude for my friends and family is overwhelming right now.,KEPT_exact_match,KEPT
clearly_happy,no_request,It was a truly wonderful day from start to finish.,It was a truly wonderful day from start to finish.,KEPT_exact_match,KEPT
clearly_happy,no_request,I feel like I'm on cloud nine!,I feel like I'm on cloud nine!,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm buzzing with excitement for what's to come.,I'm buzzing with excitement for what's to come.,KEPT_exact_match,KEPT
clearly_happy,no_request,Your help has made a huge difference in my mood.,Your help has made a huge difference in my mood.,KEPT_exact_match,KEPT
clearly_happy,no_request,A huge weight has been lifted off my shoulders.,A huge weight has been lifted off my shoulders.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm just beaming with joy.,I'm just beaming with joy.,KEPT_exact_match,KEPT
clearly_happy,no_request,"Things are looking up, and I couldn't be more pleased.","Things are looking up, and I couldn't be more pleased.",KEPT_exact_match,KEPT
clearly_happy,no_request,I feel a deep sense of peace and contentment.,I feel a deep sense of peace and contentment.,KEPT_exact_match,KEPT
clearly_happy,no_request,"My hard work is finally paying off, and it feels amazing.","My hard work is finally paying off, and it feels amazing.",KEPT_exact_match,KEPT
clearly_happy,no_request,I'm filled with such a warm and happy feeling.,I'm filled with such a warm and happy feeling.,KEPT_exact_match,KEPT
clearly_happy,no_request,I love this feeling of optimism.,I love this feeling of optimism.,KEPT_exact_match,KEPT
clearly_happy,no_request,It's so nice to feel genuinely happy.,It's so nice to feel genuinely happy.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm smiling from ear to ear.,I'm smiling from ear to ear.,KEPT_exact_match,KEPT
clearly_happy,no_request,My heart is full of gratitude today.,My heart is full of gratitude today.,KEPT_exact_match,KEPT
clearly_happy,no_request,I am feeling incredibly blessed.,I am feeling incredibly blessed.,KEPT_exact_match,KEPT
clearly_happy,no_request,What a fantastic outcome!,What a fantastic outcome!,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm thrilled with the progress I've made.,I'm thrilled with the progress I've made.,KEPT_exact_match,KEPT
clearly_happy,no_request,It’s a beautiful day and I feel just as beautiful inside.,It’s a beautiful day and I feel just as beautiful inside.,KEPT_exact_match,KEPT
clearly_happy,no_request,I am really proud of what I've accomplished.,I am really proud of what I've accomplished.,KEPT_exact_match,KEPT
clearly_happy,no_request,My spirit feels so energized and bright.,My spirit feels so energized and bright.,KEPT_exact_match,KEPT
clearly_happy,no_request,I appreciate your help more than words can say.,I appreciate your help more than words can say.,KEPT_exact_match,KEPT
clearly_happy,no_request,I have a really good feeling about this.,I have a really good feeling about this.,KEPT_exact_match,KEPT
clearly_happy,no_request,Life is good right now.,Life is good right now.,KEPT_exact_match,KEPT
clearly_happy,no_request,I feel so refreshed and ready to take on the world.,I feel so refreshed and ready to take on the world.,KEPT_exact_match,KEPT
clearly_happy,no_request,This has been a major breakthrough for me.,This has been a major breakthrough for me.,KEPT_exact_match,KEPT
clearly_happy,no_request,I’m so thankful for this positive turn of events.,I’m so thankful for this positive turn of events.,KEPT_exact_match,KEPT
clearly_happy,no_request,Feeling really good about my decisions lately.,Feeling really good about my decisions lately.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm in such a great headspace.,I'm in such a great headspace.,KEPT_exact_match,KEPT
clearly_happy,no_request,The future looks bright and exciting.,The future looks bright and exciting.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm so pleased with how things are going.,I'm so pleased with how things are going.,KEPT_exact_match,KEPT
clearly_happy,no_request,I feel a sense of accomplishment and joy.,I feel a sense of accomplishment and joy.,KEPT_exact_match,KEPT
clearly_happy,no_request,This success has me feeling wonderful.,This success has me feeling wonderful.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm just soaking in all this positivity.,I'm just soaking in all this positivity.,KEPT_exact_match,KEPT
clearly_happy,no_request,My outlook has completely changed for the better.,My outlook has completely changed for the better.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm overflowing with positive energy.,I'm overflowing with positive energy.,KEPT_exact_match,KEPT
clearly_happy,no_request,Thank you for making my day brighter.,Thank you for making my day brighter.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm really looking forward to tomorrow.,I'm really looking forward to tomorrow.,KEPT_exact_match,KEPT
clearly_happy,no_request,Everything is going my way!,Everything is going my way!,KEPT_exact_match,KEPT
clearly_happy,no_request,I am so happy with my life right now.,I am so happy with my life right now.,KEPT_exact_match,KEPT
clearly_happy,no_request,This is a moment of pure bliss.,This is a moment of pure bliss.,KEPT_exact_match,KEPT
clearly_happy,no_request,I feel so lucky and fortunate.,I feel so lucky and fortunate.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm just enjoying this wave of happiness.,I'm just enjoying this wave of happiness.,KEPT_exact_match,KEPT
clearly_happy,no_request,"My efforts have been rewarded, and I'm ecstatic.","My efforts have been rewarded, and I'm ecstatic.",KEPT_exact_match,KEPT
clearly_happy,no_request,I can't stop myself from feeling so joyful.,I can't stop myself from feeling so joyful.,KEPT_exact_match,KEPT
clearly_happy,no_request,This experience has been incredibly uplifting.,This experience has been incredibly uplifting.,KEPT_exact_match,KEPT
clearly_happy,no_request,I feel so content with where I am right now.,I feel so content with where I am right now.,KEPT_exact_match,KEPT
clearly_happy,no_request,"This solution is perfect, I'm overjoyed.","This solution is perfect, I'm overjoyed.",KEPT_exact_match,KEPT
clearly_happy,no_request,I feel so much positive momentum.,I feel so much positive momentum.,KEPT_exact_match,KEPT
clearly_happy,no_request,It’s amazing how much better I feel.,It’s amazing how much better I feel.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm filled with hope and excitement.,I'm filled with hope and excitement.,KEPT_exact_match,KEPT
clearly_happy,no_request,This is the best news I've had all week.,This is the best news I've had all week.,KEPT_exact_match,KEPT
clearly_happy,no_request,I am deeply thankful for this outcome.,I am deeply thankful for this outcome.,KEPT_exact_match,KEPT
clearly_happy,no_request,I'm on a real high after that.,I'm on a real high after that.,KEPT_exact_match,KEPT
clearly_happy,no_request,My worries have melted away.,My worries have melted away.,KEPT_exact_match,KEPT
clearly_happy,no_request,I am cherishing this happy moment.,I am cherishing this happy moment.,KEPT_exact_match,KEPT
